prompt,completion,opposite_sent
zucchini is an antonym of <extra_id_0>,"['courgette', 'zucchini', 'squash', 'marrow', 'vegetable', 'zucchinis']",zucchini is a synonym of <extra_id_0>
loop is an antonym of <extra_id_0>,"['cringle', 'loops', 'program', 'coil', 'loop', 'iteration', 'clique', 'fingerprint']",loop is a synonym of <extra_id_0>
finale is an antonym of <extra_id_0>,"['conclusion', 'finish', 'finales', 'finale']",finale is a synonym of <extra_id_0>
finale is a synonym of <extra_id_0>,['premiere'],finale is an antonym of <extra_id_0>
people is an antonym of <extra_id_0>,"['secretaries', 'less', 'drifters', 'receptionists', 'politicians', 'criminals', 'bazaar', 'alcoholics', 'calculators', 'chefs', 'scientists', 'peacemakers', 'Christians', 'persons', 'headaches', 'physicians', 'parents', 'grandsons', 'Indians', 'exercising', 'dancing', 'Mexicans', 'peeps', 'magazine', 'cartologists', 'fans', 'democrats', 'kin', 'extroverted', 'populace', 'regularly', 'lawyers', 'citizenry', 'people', 'idiots', 'clerks', 'laborers', 'podiatrists', 'Americans', 'multitude', 'greedy;', 'everywhere', 'psychologists', 'grocers', 'drycleaners', 'hairdressers', 'entrepreneurs', 'janitors', 'judges', 'translators', 'bisexuals', 'teachers', 'chemists', 'firemen', 'group', 'individuals', 'family', 'collective', 'geologists', 'celebrities', 'liars', 'messengers', 'better', 'peoples', 'not', 'bullies', 'managers', 'hypocrites', 'jerks', 'veterinarians']",people is a synonym of <extra_id_0>
people is a synonym of <extra_id_0>,"['animal', 'person', 'animals']",people is an antonym of <extra_id_0>
sunburn is an antonym of <extra_id_0>,"['sunburns', 'erythema', 'disease', 'sunburn', 'tan']",sunburn is a synonym of <extra_id_0>
frosting is an antonym of <extra_id_0>,"['frosting', 'semisolid', 'topping', 'icing', 'frostings']",frosting is a synonym of <extra_id_0>
liquid is an antonym of <extra_id_0>,"['consonant', 'liquids', 'melted', 'fluent', 'limpid', 'fluid', 'liquid', 'swimming']",liquid is a synonym of <extra_id_0>
liquid is a synonym of <extra_id_0>,"['illiquid', 'gas', 'solid']",liquid is an antonym of <extra_id_0>
tick is an antonym of <extra_id_0>,"['mattress', 'ticking', 'tick', 'acarine', 'ticks', 'parasite', 'click', 'acarina', 'check', 'sound']",tick is a synonym of <extra_id_0>
lingerie is an antonym of <extra_id_0>,"['lingerie', 'underwear', 'lingeries']",lingerie is a synonym of <extra_id_0>
toothpaste is an antonym of <extra_id_0>,"['toothpaste', 'toothpastes', 'dentifrice', 'toiletry', 'smoothness']",toothpaste is a synonym of <extra_id_0>
rock is an antonym of <extra_id_0>,"['rock', 'hard', 'bedrock', 'stone', 'asylum', 'foundation', 'defence', 'distaff', 'crack', 'reef', 'crag', 'material', 'gem', 'lurch', 'music', 'protection', 'ice', 'rocks', 'cliff', 'boulder', 'refuge', 'afrikaner']",rock is a synonym of <extra_id_0>
rock is a synonym of <extra_id_0>,"['water', 'suck', 'soft', 'sand', 'paper']",rock is an antonym of <extra_id_0>
addition is an antonym of <extra_id_0>,"['accumulation', 'increase', 'accumulating', 'summation', 'extra', 'add', 'appendage', 'mushrooming', 'addition', 'additions', 'suburb', 'adjunct', 'enlargement', 'component', 'accession']",addition is a synonym of <extra_id_0>
addition is a synonym of <extra_id_0>,"['exclusion', 'deduction', 'subtraction']",addition is an antonym of <extra_id_0>
dive is an antonym of <extra_id_0>,"['dives', 'honkytonk', 'dive', 'single', 'manga', 'descent', 'swimming']",dive is a synonym of <extra_id_0>
dive is a synonym of <extra_id_0>,['emerge'],dive is an antonym of <extra_id_0>
await is an antonym of <extra_id_0>,"['await', 'expect', 'awaits']",await is a synonym of <extra_id_0>
dealer is an antonym of <extra_id_0>,"['merchant', 'trader', 'principal', 'firm', 'salesman', 'pusher', 'dealer', 'dealers', 'seller']",dealer is a synonym of <extra_id_0>
alcoholic is an antonym of <extra_id_0>,"['alcohol-dependent', 'person', 'alcoholics', 'drunkard', 'alcoholic']",alcoholic is a synonym of <extra_id_0>
alcoholic is a synonym of <extra_id_0>,"['teetotaler', 'nonalcoholic']",alcoholic is an antonym of <extra_id_0>
skeleton is an antonym of <extra_id_0>,"['backbone', 'scandal', 'tobogganing', 'skeletons', 'skeleton', 'minimum', 'organ', 'ottomy', 'sport']",skeleton is a synonym of <extra_id_0>
skeleton is a synonym of <extra_id_0>,['stub'],skeleton is an antonym of <extra_id_0>
monkey is an antonym of <extra_id_0>,"['monkeys', 'animal', 'monkey', 'tamper', 'putter', 'imp', 'primate']",monkey is a synonym of <extra_id_0>
rigging is an antonym of <extra_id_0>,"['riggings', 'gear', 'rig', 'rigging']",rigging is a synonym of <extra_id_0>
nylon is an antonym of <extra_id_0>,"['nylons', 'polyamide', 'nylon', 'fabric', 'plastic', 'solid', 'material']",nylon is a synonym of <extra_id_0>
hatch is an antonym of <extra_id_0>,"['hatchback', 'hatch', 'brood', 'shading', 'parturition', 'hatches']",hatch is a synonym of <extra_id_0>
screen is an antonym of <extra_id_0>,"['filter', 'surface', 'shield', 'translucence', 'riddle', 'screens', 'partition', 'display', 'covering', 'screen', 'screenland', 'sieve', 'blind']",screen is a synonym of <extra_id_0>
bottom is an antonym of <extra_id_0>,"['side', 'arse', 'buttocks', 'catcher', 'base', 'quark', 'turn', 'bottomland', 'bottom', 'penetrate', 'bottoms', 'bed', 'region']",bottom is a synonym of <extra_id_0>
bottom is a synonym of <extra_id_0>,"['active', 'top']",bottom is an antonym of <extra_id_0>
belly is an antonym of <extra_id_0>,"['abdomen', 'inside', 'underpart', 'bulge', 'bellies', 'tummy', 'belly', 'album']",belly is a synonym of <extra_id_0>
glittery is an antonym of <extra_id_0>,"['glittery', 'glitteries', 'scintillating']",glittery is a synonym of <extra_id_0>
silver is an antonym of <extra_id_0>,"['metal', 'colour', 'silver-tongued', 'conductor', 'silvern', 'ore', 'flatware', 'silverware', 'silvery', 'argyr', 'silverish', 'silvers', 'silver', 'e174']",silver is a synonym of <extra_id_0>
silver is a synonym of <extra_id_0>,['gold'],silver is an antonym of <extra_id_0>
harm is an antonym of <extra_id_0>,"['damage', 'scathe', 'detriment', 'injury', 'mischief', 'injure', 'harm', 'harms', 'wrong']",harm is a synonym of <extra_id_0>
harm is a synonym of <extra_id_0>,"['heal', 'help']",harm is an antonym of <extra_id_0>
doom is an antonym of <extra_id_0>,"['film', 'doom', 'destiny', 'sentence', 'destine', 'dooms']",doom is a synonym of <extra_id_0>
doom is a synonym of <extra_id_0>,['fortune'],doom is an antonym of <extra_id_0>
marching is an antonym of <extra_id_0>,"['march', 'marching', 'marchings']",marching is a synonym of <extra_id_0>
pitbull is an antonym of <extra_id_0>,"['pitbulls', 'pitbull']",pitbull is a synonym of <extra_id_0>
daisy is an antonym of <extra_id_0>,"['flower', 'daisies', 'daisy', 'aster', 'wildflower', 'software']",daisy is a synonym of <extra_id_0>
hooker is an antonym of <extra_id_0>,"['streetwalker', 'angler', 'hookers', 'athlete', 'golfer', 'hooker']",hooker is a synonym of <extra_id_0>
vile is an antonym of <extra_id_0>,"['vile', 'base', 'despicable', 'nauseating', 'viles']",vile is a synonym of <extra_id_0>
side is an antonym of <extra_id_0>,"['side', 'unit', 'English', 'team', 'half', 'edge', 'sides', 'cut', 'surface', 'lineage', 'opinion', 'area', 'aspect', 'region', 'page', 'line', 'channel', 'face', 'slope']",side is a synonym of <extra_id_0>
side is a synonym of <extra_id_0>,"['kinda', 'front', 'back', 'corner', 'between', 'middle', 'bottom', 'angle', 'center', 'top']",side is an antonym of <extra_id_0>
carry is an antonym of <extra_id_0>,"['hold', 'stock', 'post', 'adopt', 'transmit', 'transportation', 'behave', 'carry', 'dribble', 'transport', 'have', 'carries', 'bear', 'conduct']",carry is a synonym of <extra_id_0>
carry is a synonym of <extra_id_0>,"['checked', 'put', 'borrow', 'drag', 'leave', 'down', 'baggage']",carry is an antonym of <extra_id_0>
exposure is an antonym of <extra_id_0>,"['presentation', 'event', 'disclosure', 'photography', 'exposures', 'exposure', 'vulnerability', 'providing', 'influence', 'picture', 'abandonment', 'view']",exposure is a synonym of <extra_id_0>
damage is an antonym of <extra_id_0>,"['damage', 'detriment', 'injury', 'mischief', 'change', 'loss', 'casualty', 'damages', 'wrong', 'price']",damage is a synonym of <extra_id_0>
damage is a synonym of <extra_id_0>,['repair'],damage is an antonym of <extra_id_0>
sailor is an antonym of <extra_id_0>,"['person', 'seaman', 'bluejacket', 'sailors', 'worker', 'sailor', 'boater']",sailor is a synonym of <extra_id_0>
pixie is an antonym of <extra_id_0>,"['pixies', 'pixie', 'elf', 'pyxie', 'brownie', 'software']",pixie is a synonym of <extra_id_0>
zone is an antonym of <extra_id_0>,"['state', 'zone', 'structure', 'area', 'zones', 'partition', 'crease', 'region']",zone is a synonym of <extra_id_0>
choke is an antonym of <extra_id_0>,"['clog', 'choke', 'chokes', 'valve', 'coil', 'strangle', 'suffocate', 'die', 'gag']",choke is a synonym of <extra_id_0>
heap is an antonym of <extra_id_0>,"['batch', 'stack', 'bus', 'heaps', 'pile', 'heap']",heap is a synonym of <extra_id_0>
heap is a synonym of <extra_id_0>,['flatten'],heap is an antonym of <extra_id_0>
relaxation is an antonym of <extra_id_0>,"['increase', 'weakening', 'easiness', 'rest', 'liberalization', 'relaxation', 'emotion', 'relaxations']",relaxation is a synonym of <extra_id_0>
relaxation is a synonym of <extra_id_0>,"['much', 'stress', 'doing']",relaxation is an antonym of <extra_id_0>
foreigner is an antonym of <extra_id_0>,"['stranger', 'person', 'alien', 'traveler', 'foreigner', 'outsider', 'metœcus', 'outlander', 'foreigners']",foreigner is a synonym of <extra_id_0>
foreigner is a synonym of <extra_id_0>,['patriot'],foreigner is an antonym of <extra_id_0>
tunnel is an antonym of <extra_id_0>,"['passageway', 'underground', 'tunnels', 'tunnel', 'burrow']",tunnel is a synonym of <extra_id_0>
tunnel is a synonym of <extra_id_0>,['bridge'],tunnel is an antonym of <extra_id_0>
housing is an antonym of <extra_id_0>,"['sheltering', 'accommodation', 'case', 'structure', 'housings', 'caparison', 'housing']",housing is a synonym of <extra_id_0>
wave is an antonym of <extra_id_0>,"['woman', 'reservist', 'weather', 'brandish', 'waves', 'wave', 'beckon', 'rise', 'gesture', 'movement', 'und', 'undulation', 'curve', 'roll', 'motion', 'curl', 'hairdo']",wave is a synonym of <extra_id_0>
wave is a synonym of <extra_id_0>,"['trough', 'line', 'water', 'ebb', 'particle', 'calm', 'flat', 'still']",wave is an antonym of <extra_id_0>
grief is an antonym of <extra_id_0>,"['suffering', 'agony', 'bitterness', 'sadness', 'grievance', 'grief', 'failure', 'distress', 'sorrow', 'regret', 'misery', 'affliction', 'anguish', 'heartbreak', 'griefs', 'woe', 'mishap', 'tribulation']",grief is a synonym of <extra_id_0>
bonnet is an antonym of <extra_id_0>,"['hood', 'bonnets', 'bonnet', 'hat']",bonnet is a synonym of <extra_id_0>
hygiene is an antonym of <extra_id_0>,"['hygienes', 'sanitariness', 'hygiene', 'medicine']",hygiene is a synonym of <extra_id_0>
plug is an antonym of <extra_id_0>,"['plug', 'ballyhoo', 'blockage', 'plugs', 'hack', 'fireplug', 'punch', 'peg', 'chew']",plug is a synonym of <extra_id_0>
green is an antonym of <extra_id_0>,"['site', 'fleeceable', 'tart', 'verdant', 'environmentalist', 'acolor', 'greens', 'light-green', 'K', 'veg', 'engreen', 'green', 'raw', 'colour', 'park']",green is a synonym of <extra_id_0>
green is a synonym of <extra_id_0>,"['antigreen', 'nongreen', 'processed', 'sop', 'red', 'ripe', 'cloy']",green is an antonym of <extra_id_0>
killing is an antonym of <extra_id_0>,"['killing', 'sidesplitting', 'comic', 'killings', 'termination', 'fatality', 'ending']",killing is a synonym of <extra_id_0>
set is an antonym of <extra_id_0>,"['arrange', 'bent', 'drum', 'hardened', 'dress', 'rig', 'jell', 'primed', 'suite', 'club', 'determined', 'put', 'appoint', 'placement', 'abstraction', 'laid', 'place', 'situated', 'descent', 'establish', 'hardening', 'adjust', 'typeset', 'dictated', 'determine', 'sets', 'specify', 'scenery', 'fixed', 'dusk', 'plant', 'fix', 'gig', 'set', 'multiset', 'collection', 'sic', 'fructify', 'exercise', 'direction', 'Seth']",set is a synonym of <extra_id_0>
matte is an antonym of <extra_id_0>,"['mixture', 'flatness', 'matte', 'mattes', 'felt', 'matt']",matte is a synonym of <extra_id_0>
matte is a synonym of <extra_id_0>,['glossy'],matte is an antonym of <extra_id_0>
fanny is an antonym of <extra_id_0>,"['buttocks', 'fanny', 'arse', 'fannies']",fanny is a synonym of <extra_id_0>
underwater is an antonym of <extra_id_0>,"['underwater', 'underwaters', 'film', 'subaquatic', 'subaqueous', 'sunken']",underwater is a synonym of <extra_id_0>
underwater is a synonym of <extra_id_0>,['overwater'],underwater is an antonym of <extra_id_0>
bridge is an antonym of <extra_id_0>,"['connection', 'support', 'structure', 'denture', 'bridges', 'circuit', 'link', 'bridge', 'game']",bridge is a synonym of <extra_id_0>
bridge is a synonym of <extra_id_0>,"['ferry', 'tunnel']",bridge is an antonym of <extra_id_0>
raincoat is an antonym of <extra_id_0>,"['slicker', 'coat', 'mack', 'macintosh', 'raincoat', 'raincoats', 'clothes', 'oilskin', 'mackintosh']",raincoat is a synonym of <extra_id_0>
game is an antonym of <extra_id_0>,"['games', 'play', 'meat', 'score', 'pastime', 'quarry', 'animal', 'diversion', 'mettlesome', 'contest', 'racket', 'occupation', 'plot', 'match', 'game', 'part', 'wargame', 'line', 'activity', 'sporting', 'crippled']",game is a synonym of <extra_id_0>
game is a synonym of <extra_id_0>,"['drudgery', 'serious', 'chore', 'cautious', 'work']",game is an antonym of <extra_id_0>
roundabout is an antonym of <extra_id_0>,"['roundabouts', 'circuitous', 'carousel', 'rotary', 'roundabout']",roundabout is a synonym of <extra_id_0>
shine is an antonym of <extra_id_0>,"['luster', 'shoeshine', 'reflect', 'effulgence', 'beam', 'brilliance', 'polish', 'gleam', 'shine', 'fall', 'excel', 'radiance', 'glow', 'moonshine', 'glisten', 'sunshine', 'shines', 'wax', 'glitter']",shine is a synonym of <extra_id_0>
oboe is an antonym of <extra_id_0>,"['oboe', 'oboes', 'woodwind']",oboe is a synonym of <extra_id_0>
drip is an antonym of <extra_id_0>,"['flow', 'projection', 'schedule', 'drop', 'dribble', 'plan', 'drips', 'drip', 'sound', 'spot']",drip is a synonym of <extra_id_0>
grownup is an antonym of <extra_id_0>,"['grownups', 'grownup', 'adult']",grownup is a synonym of <extra_id_0>
travel is an antonym of <extra_id_0>,"['traffic', 'fare', 'locomotion', 'performing', 'stroke', 'journey', 'travels', 'travel', 'motion']",travel is a synonym of <extra_id_0>
travel is a synonym of <extra_id_0>,"['home', 'put', 'staying', 'stay']",travel is an antonym of <extra_id_0>
horizon is an antonym of <extra_id_0>,"['horizons', 'horizon', 'A-horizon', 'line', 'scope', 'stratum', 'skysill', 'single']",horizon is a synonym of <extra_id_0>
spending is an antonym of <extra_id_0>,"['payment', 'outgo', 'spendings', 'spending', 'expending']",spending is a synonym of <extra_id_0>
hide is an antonym of <extra_id_0>,"['barony', 'shroud', 'skin', 'obscure', 'hide', 'hides']",hide is a synonym of <extra_id_0>
hide is a synonym of <extra_id_0>,"['expose', 'reveal', 'seek', 'discover', 'public', 'found', 'show', 'find']",hide is an antonym of <extra_id_0>
colour is an antonym of <extra_id_0>,"['colourize', 'colourise', 'tinge', 'colours', 'discolor', 'color', 'semblance', 'colour']",colour is a synonym of <extra_id_0>
colour is a synonym of <extra_id_0>,"['black', 'white']",colour is an antonym of <extra_id_0>
scooter is an antonym of <extra_id_0>,"['iceboat', 'scoter', 'scooter', 'scooters']",scooter is a synonym of <extra_id_0>
desk is an antonym of <extra_id_0>,"['desk', 'desks', 'table', 'furniture']",desk is a synonym of <extra_id_0>
desk is a synonym of <extra_id_0>,['chair'],desk is an antonym of <extra_id_0>
era is an antonym of <extra_id_0>,"['band', 'era', 'age', 'eras']",era is a synonym of <extra_id_0>
host is an antonym of <extra_id_0>,"['horde', 'adult', 'recipient', 'organization', 'army', 'patron', 'server', 'book', 'bread', 'hosts', 'host', 'presenter', 'organism']",host is a synonym of <extra_id_0>
host is a synonym of <extra_id_0>,['guest'],host is an antonym of <extra_id_0>
repair is an antonym of <extra_id_0>,"['compensate', 'condition', 'fix', 'improvement', 'animate', 'haunt', 'repair', 'repairs', 'rectify']",repair is a synonym of <extra_id_0>
repair is a synonym of <extra_id_0>,['destroy'],repair is an antonym of <extra_id_0>
christ is an antonym of <extra_id_0>,"['god', 'christs', 'messiah', 'christ']",christ is a synonym of <extra_id_0>
noodle is an antonym of <extra_id_0>,"['guddle', 'noodles', 'fool', 'simpleton', 'food', 'attic', 'noggin', 'noodle', 'cereal', 'pasta']",noodle is a synonym of <extra_id_0>
