prompt,opposite_sent,completion
Efexor isn't a kind of <extra_id_0>,Efexor is a kind of <extra_id_0>,['venlafaxine']
Earth isn't a type of <extra_id_0>,Earth is a type of <extra_id_0>,"['location', 'material', 'element', 'thing', 'planet']"
Clerk isn't a kind of <extra_id_0>,Clerk is a kind of <extra_id_0>,"['employee', 'human', 'profession']"
Germany isn't a <extra_id_0>,Germany is a <extra_id_0>,['country']
Apple isn't a <extra_id_0>,Apple is a <extra_id_0>,"['friut', 'pome', 'tree', 'fruit', 'plant']"
Protestant isn't a kind of <extra_id_0>,Protestant is a kind of <extra_id_0>,"['christian', 'Christian', 'believer']"
A foreman isn't a kind of <extra_id_0>,A foreman is a kind of <extra_id_0>,"['leader', 'person', 'foreperson', 'worker', 'supervisor']"
Mono isn't a kind of <extra_id_0>,Mono is a kind of <extra_id_0>,"['virus', 'software']"
Caladiums aren't <extra_id_0>,Caladiums are <extra_id_0>,['annuals']
Crops aren't <extra_id_0>,Crops are <extra_id_0>,"['plants', 'vegetables']"
An elephant isn't a <extra_id_0>,An elephant is a <extra_id_0>,"['elephantidae', 'mammal', 'proboscidean', 'emblem', 'animal', 'pachyderm']"
Idli isn't a type of <extra_id_0>,Idli is a type of <extra_id_0>,"['food', 'flatbread']"
A primate isn't an <extra_id_0>,A primate is an <extra_id_0>,['placental']
Gordita isn't a type of <extra_id_0>,Gordita is a type of <extra_id_0>,['flatbread']
Gulls aren't <extra_id_0>,Gulls are <extra_id_0>,"['birds', 'animals']"
The queen didn't be <extra_id_0>,The queen was <extra_id_0>,"['aristocrat', 'personification', 'sovereign', 'royalty', 'homosexual', 'station', 'monarch', 'woman', 'insect', 'beheaded', 'chessman']"
A minister isn't a <extra_id_0>,A minister is a <extra_id_0>,"['diplomat', 'clergyman', 'provost', 'executive']"
Plumbing isn't <extra_id_0>,Plumbing is <extra_id_0>,"['craft', 'utility', 'trade', 'pipework']"
The motor isn't an <extra_id_0>,The motor is an <extra_id_0>,"['machine', 'agent']"
Tablespoon isn't a type of <extra_id_0>,Tablespoon is a type of <extra_id_0>,"['containerful', 'spoon']"
A passenger isn't a kind of <extra_id_0>,A passenger is a kind of <extra_id_0>,"['traveler', 'person']"
Solar eclipse isn't a kind of astronomic <extra_id_0>,Solar eclipse is a kind of astronomic <extra_id_0>,"['software', 'book', 'interruption', 'phenomenon', 'ship']"
A mormon isn't a type of <extra_id_0>,A mormon is a type of <extra_id_0>,['christian']
Love isn't a kind of <extra_id_0>,Love is a kind of <extra_id_0>,"['score', 'forever', '...responsibility', 'emotion', 'like', 'attachment', 'affection', '""magic""', 'object', 'bond']"
Caffeine isn't a <extra_id_0>,Caffeine is a <extra_id_0>,"['stimulant', 'alkaloid', 'drug', 'nootropic']"
Harbours aren't <extra_id_0>,Harbours are <extra_id_0>,['rad']
A robot isn't an <extra_id_0>,A robot is an <extra_id_0>,"['machine', 'automaton', 'slave']"
Puffin isn't a <extra_id_0>,Puffin is a <extra_id_0>,"['bird', 'seabird']"
Diabetes isn't a type of <extra_id_0>,Diabetes is a type of <extra_id_0>,['disease']
U2 isn't a good <extra_id_0>,U2 is a good <extra_id_0>,['band']
Numbness isn't a kind of <extra_id_0>,Numbness is a kind of <extra_id_0>,"['sensation', 'symptom']"
Parfin isn't a type of <extra_id_0>,Parfin is a type of <extra_id_0>,['wax']
Czech isn't a <extra_id_0>,Czech is a <extra_id_0>,"['czech', 'person', 'slav', 'European', 'human', 'Slavic', 'european']"
Vilnius isn't a kind of <extra_id_0>,Vilnius is a kind of <extra_id_0>,"['place', 'city']"
Murder isn't a kind of <extra_id_0>,Murder is a kind of <extra_id_0>,"['evil', 'killing', 'violence', 'sin', 'homicide']"
Ice isn't <extra_id_0>,Ice is <extra_id_0>,"['anime', 'crystal', 'water', 'diamond', 'solid', 'splippery', 'object', 'slippy']"
Shopping isn't <extra_id_0>,Shopping is <extra_id_0>,"['commodity', 'buying', 'tiring']"
Division isn't math <extra_id_0>,Division is math <extra_id_0>,"['discord', 'state', 'separation', 'separating', 'phylum']"
A unicorn isn't a <extra_id_0>,A unicorn is a <extra_id_0>,"['equine', 'carriage']"
Schizophrenia isn't a type of <extra_id_0>,Schizophrenia is a type of <extra_id_0>,"['disease', 'insanity', 'psychosis']"
A pentagon isn't a type of geometric <extra_id_0>,A pentagon is a type of geometric <extra_id_0>,"['polygon', 'building', 'bureaucracy']"
A bull isn't a type of male <extra_id_0>,A bull is a type of male <extra_id_0>,"['blunder', 'man', 'investor', 'person', 'placental', 'decree', 'adult', 'animal', 'cattle', 'policeman']"
Zanzibar isn't an <extra_id_0>,Zanzibar is an <extra_id_0>,['country']
A bongo isn't an <extra_id_0>,A bongo is an <extra_id_0>,"['drum', 'mammal', 'antelope']"
Murder isn't a <extra_id_0>,Murder is a <extra_id_0>,"['evil', 'killing', 'violence', 'sin', 'homicide']"
Russian isn't a <extra_id_0>,Russian is a <extra_id_0>,"['aborigine', 'dandelion', 'slav', 'human', 'Slavic']"
People don't sell goods in a <extra_id_0>,People sell goods in a <extra_id_0>,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
An octagon isn't a kind of <extra_id_0>,An octagon is a kind of <extra_id_0>,['polygon']
A pornstar isn't a kind of <extra_id_0>,A pornstar is a kind of <extra_id_0>,['person']
Paraki isn't a type of <extra_id_0>,Paraki is a type of <extra_id_0>,['flatbread']
Some wines aren't <extra_id_0>,Some wines are <extra_id_0>,['blush']
Clavichords aren't <extra_id_0>,Clavichords are <extra_id_0>,['instruments']
Spam isn't a type of <extra_id_0>,Spam is a type of <extra_id_0>,"['product', 'email', 'food']"
Fleas aren't <extra_id_0>,Fleas are <extra_id_0>,['insects']
A organ isn't a <extra_id_0>,A organ is a <extra_id_0>,"['band', 'furniture', 'agency', 'periodical']"
Wax isn't a type of <extra_id_0>,Wax is a type of <extra_id_0>,"['lipid', 'fuel', 'white']"
The French aren't <extra_id_0>,The French are <extra_id_0>,"['person', 'cowards', 'Romance']"
Equines aren't <extra_id_0>,Equines are <extra_id_0>,['mammals']
Situation: Matter isn't a form of <extra_id_0>,Situation: Matter is a form of <extra_id_0>,"['consequence', 'trouble', 'concern', 'book', 'anything', 'writing', 'energy']"
Glass isn't a <extra_id_0>,Glass is a <extra_id_0>,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
The world isn't almost round in <extra_id_0>,The world is almost round in <extra_id_0>,"['habitude', 'partsong', 'applause', 'helping', 'ammunition', 'call', 'path']"
Awe isn't a type of <extra_id_0>,Awe is a type of <extra_id_0>,"['emotion', 'reverence', 'wonder']"
Nan isn't a type of <extra_id_0>,Nan is a type of <extra_id_0>,"['grandma', 'flatbread', 'bread']"
Nick isn't a <extra_id_0>,Nick is a <extra_id_0>,['prison']
Slinkies aren't <extra_id_0>,Slinkies are <extra_id_0>,['toys']
Squaredancing isn't a kind of <extra_id_0>,Squaredancing is a kind of <extra_id_0>,['dance']
Newspaper isn't a kind of <extra_id_0>,Newspaper is a kind of <extra_id_0>,"['media', 'publisher', 'archive', 'paper', 'product', 'periodical', 'press']"
Pupils aren't <extra_id_0>,Pupils are <extra_id_0>,['humans']
Geriatrics isn't a type of <extra_id_0>,Geriatrics is a type of <extra_id_0>,"['nursing', 'medicine']"
Cormorant isn't a <extra_id_0>,Cormorant is a <extra_id_0>,['seabird']
Iowa isn't a kind of <extra_id_0>,Iowa is a kind of <extra_id_0>,['Chiwere']
Weasels aren't <extra_id_0>,Weasels are <extra_id_0>,['animals']
Diazepam isn't a <extra_id_0>,Diazepam is a <extra_id_0>,"['drug', 'sedative', 'benzodiazepine']"
A patio door usually doesn't lead to <extra_id_0>,A patio door usually leads to <extra_id_0>,"['area', 'outdoors']"
A lexus isn't a type of <extra_id_0>,A lexus is a type of <extra_id_0>,"['ford', 'company']"
Kennedy didn't be <extra_id_0>,Kennedy was <extra_id_0>,['assasinated']
Journalism isn't <extra_id_0>,Journalism is <extra_id_0>,"['power', 'profession']"
A guardian isn't a kind of <extra_id_0>,A guardian is a kind of <extra_id_0>,"['newspaper', 'book', 'person']"
Sigh isn't a type of soft <extra_id_0>,Sigh is a type of soft <extra_id_0>,"['utterance', 'breath', 'exhalation', 'sound']"
Cocain isn't <extra_id_0>,Cocain is <extra_id_0>,['snorted']
A soldier isn't a kind of <extra_id_0>,A soldier is a kind of <extra_id_0>,"['worker', 'warrior']"
Some books aren't <extra_id_0>,Some books are <extra_id_0>,"['anthologies', 'fiction', 'products', 'literature', 'fantasies']"
Phosphorus isn't a <extra_id_0>,Phosphorus is a <extra_id_0>,"['nonmetal', 'solid']"
Dance isn't a kind of <extra_id_0>,Dance is a kind of <extra_id_0>,"['sport', 'party', 'art', 'single', 'artwork', 'album', 'aerobics', 'social']"
JAVA isn't <extra_id_0>,JAVA is <extra_id_0>,"['platformindependent', 'island']"
A pathologist isn't a kind of <extra_id_0>,A pathologist is a kind of <extra_id_0>,['doctor']
An octagon isn't an eight-sided <extra_id_0>,An octagon is an eight-sided <extra_id_0>,['polygon']
A Nalgene isn't a kind of <extra_id_0>,A Nalgene is a kind of <extra_id_0>,['waterbottle']
A stepladder isn't <extra_id_0>,A stepladder is <extra_id_0>,"['ladder', 'moveable']"
A car isn't an <extra_id_0>,A car is an <extra_id_0>,"['compartment', 'vehicle']"
Oatmeal isn't a type of morning <extra_id_0>,Oatmeal is a type of morning <extra_id_0>,"['meal', 'porridge']"
An anus isn't a kind of a <extra_id_0>,An anus is a kind of a <extra_id_0>,['orifice']
Apples aren't juicy and <extra_id_0>,Apples are juicy and <extra_id_0>,"['crunchy', 'computers', 'best']"
Sauteing isn't a kind of <extra_id_0>,Sauteing is a kind of <extra_id_0>,['cooking']
Baby isn't newborn <extra_id_0>,Baby is newborn <extra_id_0>,"['baby', 'person']"
Space isn't moon <extra_id_0>,Space is moon <extra_id_0>,"['planet', 'satellite', 'single', 'object']"
A vasoconstrictor isn't a <extra_id_0>,A vasoconstrictor is a <extra_id_0>,"['medicine', 'agent']"
A mosquito isn't a kind of <extra_id_0>,A mosquito is a kind of <extra_id_0>,"['midge', 'parasite', 'gnat', 'insect', 'vermin']"
A cheater isn't a kind of <extra_id_0>,A cheater is a kind of <extra_id_0>,['person']
An iPhone isn't a kind of <extra_id_0>,An iPhone is a kind of <extra_id_0>,"['smartphone', 'device', 'computer']"
Haircloth isn't a <extra_id_0>,Haircloth is a <extra_id_0>,['fabric']
Platter isn't a type of <extra_id_0>,Platter is a type of <extra_id_0>,['flatware']
An iPod isn't a kind of <extra_id_0>,An iPod is a kind of <extra_id_0>,"['electronic', 'stereo']"
Cyprus isn't a <extra_id_0>,Cyprus is a <extra_id_0>,"['country', 'state']"
Roman Catholicism isn't a type of <extra_id_0>,Roman Catholicism is a type of <extra_id_0>,"['christianity', 'Christianity']"
Cold isn't an <extra_id_0>,Cold is an <extra_id_0>,"['temperature', 'disease']"
Cheerleading isn't a kind of <extra_id_0>,Cheerleading is a kind of <extra_id_0>,['Sport']
Lemons aren't <extra_id_0>,Lemons are <extra_id_0>,"['yelloow', 'sower']"
A confidant isn't a <extra_id_0>,A confidant is a <extra_id_0>,['friend']
A bladder isn't a kind of <extra_id_0>,A bladder is a kind of <extra_id_0>,"['sac', 'bag', 'container']"
Methadone isn't a <extra_id_0>,Methadone is a <extra_id_0>,"['analgesic', 'drug', 'narcotic']"
A heaven isn't a type of <extra_id_0>,A heaven is a type of <extra_id_0>,['thing']
Cappucino isn't a kind of <extra_id_0>,Cappucino is a kind of <extra_id_0>,['coffe']
20Q isn't a kind of <extra_id_0>,20Q is a kind of <extra_id_0>,['game']
Hope doesn't have <extra_id_0>,Hope has <extra_id_0>,"['emotion', 'anticipation', 'person', 'feeling']"
Matzoh isn't a type of <extra_id_0>,Matzoh is a type of <extra_id_0>,['flatbread']
Clasp isn't a type of jewelry <extra_id_0>,Clasp is a type of jewelry <extra_id_0>,"['closure', 'grasping', 'fastener']"
Resonation isn't <extra_id_0>,Resonation is <extra_id_0>,['communication']
A cymbidium isn't a <extra_id_0>,A cymbidium is a <extra_id_0>,['plant']
Milk isn't <extra_id_0>,Milk is <extra_id_0>,"['liquid', 'foodstuff', 'beverage', 'nutriment', 'mixture', 'constipating', 'white']"
A landing isn't an <extra_id_0>,A landing is an <extra_id_0>,"['platform', 'arrival', 'structure']"
Colorado isn't a <extra_id_0>,Colorado is a <extra_id_0>,['state']
Opponents aren't <extra_id_0>,Opponents are <extra_id_0>,['people']
A lion isn't an <extra_id_0>,A lion is an <extra_id_0>,"['person', 'mammal', 'celebrity', 'feline', 'animal', 'predator']"
Some watches aren't <extra_id_0>,Some watches are <extra_id_0>,['multifunctional']
Religion isn't a <extra_id_0>,Religion is a <extra_id_0>,"['belief', 'institution', 'wish-fulfillment']"
Air isn't a good <extra_id_0>,Air is a good <extra_id_0>,"['achromatism', 'manga', 'band', 'gas', 'element', 'medium', 'mixture', 'region', 'ga', 'quality']"
Nitrogen isn't a <extra_id_0>,Nitrogen is a <extra_id_0>,['gas']
Some pagans aren't <extra_id_0>,Some pagans are <extra_id_0>,"['witches', 'animist', 'Wiccan', 'Druidic', 'Asatruar']"
Squirrels aren't <extra_id_0>,Squirrels are <extra_id_0>,"['animals', 'mammals']"
Oil isn't a type of <extra_id_0>,Oil is a type of <extra_id_0>,"['liquid', 'dirt', 'lipid', 'fluid']"
A lever isn't a type of <extra_id_0>,A lever is a type of <extra_id_0>,"['bar', 'machine', 'tool', 'tumbler', 'device']"
Onion isn't a kind of <extra_id_0>,Onion is a kind of <extra_id_0>,"['bulb', 'newspaper', 'vegetable', 'lacrimator']"
Airbud isn't a kind of <extra_id_0>,Airbud is a kind of <extra_id_0>,['company']
The rain isn't <extra_id_0>,The rain is <extra_id_0>,"['water', 'precipitation', 'weather', 'pouring', 'sequence']"
Crabs aren't <extra_id_0>,Crabs are <extra_id_0>,"['seafood', 'shellfish']"
Quetzal isn't a <extra_id_0>,Quetzal is a <extra_id_0>,['trogon']
Amount isn't a <extra_id_0>,Amount is a <extra_id_0>,['magnitude']
Golf isn't a spectator <extra_id_0>,Golf is a spectator <extra_id_0>,['sport']
A mayor isn't a <extra_id_0>,A mayor is a <extra_id_0>,"['politician', 'executive']"
Loyalty isn't a kind of <extra_id_0>,Loyalty is a kind of <extra_id_0>,"['emotion', 'love', 'fidelity']"
10mm isn't <extra_id_0>,10mm is <extra_id_0>,['1cm']
Air isn't a kind of <extra_id_0>,Air is a kind of <extra_id_0>,"['achromatism', 'manga', 'band', 'gas', 'element', 'medium', 'mixture', 'region', 'ga', 'quality']"
Mushrooms aren't <extra_id_0>,Mushrooms are <extra_id_0>,['fungi']
Candy isn't a <extra_id_0>,Candy is a <extra_id_0>,"['sweet', 'food']"
Skin isn't <extra_id_0>,Skin is <extra_id_0>,"['surface', 'buckskin', 'waterskin', 'wineskin', 'breathable', 'animation', 'layer', 'sealskin', 'pigskin', 'deerskin', 'snakeskin', 'doeskin', 'loinskin', 'sharkskin', 'moleskin', 'goatskin', 'bag', 'calfskin', 'film', 'lambskin', 'sheepskin']"
Joy isn't a <extra_id_0>,Joy is a <extra_id_0>,"['emotion', 'album', 'magazine']"
A rocket isn't an <extra_id_0>,A rocket is an <extra_id_0>,"['herb', 'vehicle']"
Life isn't <extra_id_0>,Life is <extra_id_0>,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
Svg isn't a type of <extra_id_0>,Svg is a type of <extra_id_0>,['xml']
Taiwan isn't a kind of <extra_id_0>,Taiwan is a kind of <extra_id_0>,"['Independency', 'country']"
Cereal isn't a breakfast <extra_id_0>,Cereal is a breakfast <extra_id_0>,"['Dinner', 'best', 'cereal', 'grass', 'typically', 'plant']"
A tie isn't <extra_id_0>,A tie is <extra_id_0>,"['beam', 'brace', 'clothing', 'cord', 'equality', 'neckwear', 'slur', 'accessory', 'competition']"
Quakers aren't <extra_id_0>,Quakers are <extra_id_0>,['friends']
A nail punch isn't a type of <extra_id_0>,A nail punch is a type of <extra_id_0>,"['perforate', 'blow', 'tool', 'hitting', 'magazine']"
Bob isn't an <extra_id_0>,Bob is an <extra_id_0>,"['hairdo', 'inclination', 'weight', 'float']"
Canary isn't domestic <extra_id_0>,Canary is domestic <extra_id_0>,"['finch', 'singer']"
Wisconsin isn't a <extra_id_0>,Wisconsin is a <extra_id_0>,['state']
A success isn't something <extra_id_0>,A success is something <extra_id_0>,"['attainment', 'performing', 'happening', 'prosperity']"
Sunni isn't a kind of <extra_id_0>,Sunni is a kind of <extra_id_0>,"['Muslim', 'muslim', 'person', 'sect']"
Boat isn't a type of water <extra_id_0>,Boat is a type of water <extra_id_0>,"['ship', 'vessel']"
Power noize isn't a kind of <extra_id_0>,Power noize is a kind of <extra_id_0>,['industrial']
Box isn't a <extra_id_0>,Box is a <extra_id_0>,"['rectangle', 'shrub', 'container', 'compartment', 'containerful', 'blow', 'tree', 'area', 'seat']"
Hallucination isn't a kind of <extra_id_0>,Hallucination is a kind of <extra_id_0>,"['delusion', 'symptom', 'disease', 'object']"
Aropax isn't a kind of <extra_id_0>,Aropax is a kind of <extra_id_0>,['paroxetine']
Cranberry isn't <extra_id_0>,Cranberry is <extra_id_0>,"['berry', 'plant', 'fruit', 'shrub']"
Penguin isn't a <extra_id_0>,Penguin is a <extra_id_0>,"['waterfowl', 'weapon', 'bird', 'seabird', 'animal']"
A trainer isn't a kind of <extra_id_0>,A trainer is a kind of <extra_id_0>,"['shoe', 'leader', 'person', 'worker']"
Oxygen isn't an <extra_id_0>,Oxygen is an <extra_id_0>,"['combustible', 'gas', 'book', 'oxygen']"
Vultures aren't <extra_id_0>,Vultures are <extra_id_0>,"['birds', 'scavengers']"
A comforter isn't a type of <extra_id_0>,A comforter is a type of <extra_id_0>,"['bedding', 'textile', 'chair', 'device']"
Communist isn't a kind of <extra_id_0>,Communist is a kind of <extra_id_0>,"['person', 'politician', 'socialist', 'commie', 'leftist']"
Owl isn't a type of night <extra_id_0>,Owl is a type of night <extra_id_0>,"['animal', 'bird']"
A plumber isn't a type of <extra_id_0>,A plumber is a type of <extra_id_0>,"['tradesperson', 'craftsman', 'tradesman']"
A supposition isn't a <extra_id_0>,A supposition is a <extra_id_0>,['conjecture']
